Name,Difficulty_x,Edge_Count,CNN_Score,Time_Minutes,Image_File,Creator,Image,Description,Difficulty_y,Time,Paper Shape,Sheets,Image_GitHub,time_minutes,Difficulty_Numeric,Predicted_Complexity,PCA1,PCA2,Keyword_Score
Crayfish,2,3052,0.0512386546415441,35,DSC03667-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03667-export-900x900.jpg,Lobster-like creature with two large claws and four legs.,moderate,35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03667-export-900x900.jpg,35,2,2.271182,-0.17496106,0.11768702,0.7080874
Dragon Hatchling,3,3169,0.0493814445944393,35,DSC03654-export-900x900.jpg,Paul Frasco,https://origami-database.com/wp-content/uploads/DSC03654-export-900x900.jpg,"Egg with reverse-colored head, tail and wings of a baby dragon peeking out.",intermediate,35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03654-export-900x900.jpg,35,3,3.4061222,-0.03597974,-0.15529674,0.83591586
Snake,1,2962,0.0407152961282169,7,DSC03651-export-900x900.jpg,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC03651-export-900x900.jpg,"Abstract snake coiled around itself, neck and head raised, with a reverse-colored open mouth.",easy,7 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03651-export-900x900.jpg,7,1,1.6047592,-0.17931205,-0.0207775,0.41578466
Rocket,2,2179,0.0326540778664981,12,DSC03622-export-900x900.jpg,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03622-export-900x900.jpg,Abstract and boxy rocket with four fins.,moderate,12 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03622-export-900x900.jpg,12,2,1.8686386,0.20668742,0.22955368,0.344442
Witch,4,3851,0.0786044491038603,113,DSC03643-export-900x900.jpg,José Aníbal Voyer Iniesta,https://origami-database.com/wp-content/uploads/DSC03643-export-900x900.jpg,Robed woman with pointy hat on a flying broom.,hard,1 hour 53 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03643-export-900x900.jpg,113,4,3.6730928,0.20939933,-0.012391275,0.42167753
King Tut,3,2708,0.0211676743451286,32,DSC03636-export-900x900.jpg,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03636-export-900x900.jpg,Mask of the Egyptian pharaoh Tutankhamun.,intermediate,32 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03636-export-900x900.jpg,32,3,3.0031517,0.1045429,0.052668516,0.49016732
Cuckoo Clock,4,2838,0.0294827629538143,154,DSC03629-export-900x900.jpg,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03629-export-900x900.jpg,Three-dimentional cuckoo clock with long pendulum and bird popping out.,hard,2 hours 34 minutes,Other,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03629-export-900x900.jpg,154,4,3.8089309,0.09938388,-0.014712666,0.63533133
Hummingbird,3,2718,0.0643691119025735,41,DSC03648-export-900x900.jpg,Phạm Hoàng Tuấn,https://origami-database.com/wp-content/uploads/DSC03648-export-900x900.jpg,Flying bird with long beak and reverse-colored body.,intermediate,41 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03648-export-900x900.jpg,41,3,3.0341458,0.07607277,-0.32512495,1.0430603
One-Headed Dragon,2,2969,0.0442160034179687,23,DSC03635-export-900x900.jpg,John Montroll,https://origami-database.com/wp-content/uploads/DSC03635-export-900x900.jpg,Standing dragon with long neck.,moderate,23 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03635-export-900x900.jpg,23,2,2.0303388,-0.17374203,-0.14630339,1.0064968
Nun,2,1206,0.026755604463465,14,DSC03624-export-3000x3000.jpg,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03624-export-3000x3000.jpg,Standing robed figure with reverse-colored wimple.,moderate,14 minutes,Other,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03624-export-3000x3000.jpg,14,2,2.0904694,0.17039338,-0.038902663,0.5956439
Pigeon,3,1737,0.0321473963120404,65,DSC03640-export-900x900.jpg,Román Díaz,https://origami-database.com/wp-content/uploads/DSC03640-export-900x900.jpg,Three-dimentional bird with distinctive plumage and body shape.,intermediate,1 hour 5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03640-export-900x900.jpg,65,3,2.6167686,0.118848376,-0.31153852,0.80530506
Vulture,2,3645,0.0401956715303309,13,DSC03627-export.jpg,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03627-export.jpg,Abstract bird with distinctive silhouette.,moderate,13 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03627-export.jpg,13,2,2.0761082,0.111579746,-0.23671176,0.9441289
White-faced Mouse,1,1295,0.0258428596047794,3,DSC03589-export-scaled.jpg,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03589-export-scaled.jpg,Abstract mouse with reverse-colored face.,easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03589-export-scaled.jpg,3,1,0.86229897,0.16850555,-0.05109739,0.7720582
Swan,2,1999,0.0313520364200367,8,DSC03590-export-900x900.jpg,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC03590-export-900x900.jpg,Sitting or swimming bird with long neck and separate wings and plumage.,moderate,8 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03590-export-900x900.jpg,8,2,2.009782,0.12313491,-0.20495884,1.0040493
2 Fold Santa,1,1346,0.0631233125574448,1,DSC03595-export-900x900.jpg,Paula Versnick,https://origami-database.com/wp-content/uploads/DSC03595-export-900x900.jpg,Abstract Santa Claus model.,easy,1 minute,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03595-export-900x900.jpg,1,1,0.8628329,0.32885852,0.13824967,0.3707873
One Fold Stegosaurus,1,825,0.0143603695140165,1,DSC03593-export-scaled.jpg,Joseph Wu,https://origami-database.com/wp-content/uploads/DSC03593-export-scaled.jpg,"Flat, abstract dinosaur.",easy,1 minute,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03593-export-scaled.jpg,1,1,0.9264642,-0.19953343,0.46081057,0.645813
Candy Box,1,1271,0.0150375366210937,5,DSC03573-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03573-export-900x900.jpg,Open tapered box with reverse-colored underside.,easy,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03573-export-900x900.jpg,5,1,1.3423498,0.45224407,0.18077365,0.31232342
Fancy Box,1,2455,0.0384096751493566,6,DSC03575-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03575-export-900x900.jpg,Box with pointed sides and reverse-colored triangle decorations on the edge.,easy,6 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03575-export-900x900.jpg,6,1,0.8143095,0.42742243,0.14166667,0.30674973
Pig,1,1061,0.0169150139303768,4,DSC03578-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03578-export-900x900.jpg,Abstract standing pig.,easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03578-export-900x900.jpg,4,1,1.0363438,0.1309409,-0.13441058,0.94343233
Star,1,1199,0.0130153341854319,4,DSC03585-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03585-export-900x900.jpg,Five-pointed star with visible flaps.,easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03585-export-900x900.jpg,4,1,1.0097353,0.22402138,-0.045083113,0.37323734
Pelican,1,1410,0.0208362713982077,3,DSC03582-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03582-export-900x900.jpg,Abstract swimming or sitting bird.,easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03582-export-900x900.jpg,3,1,1.5560575,0.14980549,-0.040107377,0.87927496
House,1,1057,0.0148593857709099,2,DSC03569-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03569-export-900x900.jpg,Abstract symbol of two adjoined houses.,easy,2 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03569-export-900x900.jpg,2,1,1.3499951,0.34207577,0.09205435,0.38694537
Jumping frog,2,3673,0.046714890423943,50,DSC03571-export-900x900.jpg,Jeremy Shafer,https://origami-database.com/wp-content/uploads/DSC03571-export-900x900.jpg,"Three-dimentional frog with four fingers and five toes, open mouth and eyes that jumps when tapped.",moderate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03571-export-900x900.jpg,50,2,2.174132,-0.1568309,0.010824598,0.87834495
Oblong Box,1,1054,0.0205457261029411,4,DSC03563-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03563-export-900x900.jpg,Long rectangular box with two attached open lids.,easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03563-export-900x900.jpg,4,1,1.0798523,0.4246413,0.23544264,0.30844343
Tall Cap,1,1072,0.023070068359375,2,DSC03565-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03565-export-900x900.jpg,High cone-shaped hat.,easy,2 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03565-export-900x900.jpg,2,1,1.4600873,0.14796446,-0.030454192,0.5450389
Boat,2,1624,0.0299407779469209,3,DSC03549-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03549-export-900x900.jpg,Simple open boat.,moderate,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03549-export-900x900.jpg,3,2,1.9398167,0.32558316,0.2805064,0.5474854
Piano,1,1608,0.064722505457261,3,DSC03567-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03567-export-900x900.jpg,Abstract three-dimentional piano.,easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03567-export-900x900.jpg,3,1,0.95670485,0.3255234,0.304449,0.29016533
Three-Headed Dragon,3,2739,0.0633434699563419,142,DSC03538-export-900x900.jpg,José Aníbal Voyer Iniesta,https://origami-database.com/wp-content/uploads/DSC03538-export-900x900.jpg,Bipedal three-headed creature with small wings and horned heads featuring open mouths.,intermediate,2 hours 22 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03538-export-900x900.jpg,142,3,3.1592898,-0.21840663,-0.15065448,1.1350073
Charizard,4,4502,0.0743597950654871,175,DSC03545-export-900x900.jpg,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC03545-export-900x900.jpg,Standing three-dimentional dragon from Pokémon with reverse-colored wings and flame on the tip of its tail.,hard,2 hours 55 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03545-export-900x900.jpg,175,4,4.1041527,-0.09251867,-0.09044952,1.1013112
Lapras,3,2622,0.060240909352022,48,DSC03534-export-900x900.jpg,Henry Phạm,https://origami-database.com/wp-content/uploads/DSC03534-export-900x900.jpg,Three-dimentional plesiosaur-like creature with reverse-colored shell on its back.,intermediate,48 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03534-export-900x900.jpg,48,3,2.7743995,-0.20771264,0.07700209,0.31561193
Bulbasaur,3,3357,0.0560417624080882,30,DSC03531-export-900x900.jpg,Kamifuusen,https://origami-database.com/wp-content/uploads/DSC03531-export-900x900.jpg,Quadruped creature with large plant bulb on its back.,intermediate,30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03531-export-900x900.jpg,30,3,2.6083186,-0.11191489,-0.049708247,0.78148377
Pegasus,4,2550,0.0365297923368566,110,DSC03508-export-900x900.jpg,José Aníbal Voyer Iniesta,https://origami-database.com/wp-content/uploads/DSC03508-export-900x900.jpg,Horse with medium-sized wings.,hard,1 hour 50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03508-export-900x900.jpg,110,4,3.5607128,-0.02345983,-0.20469773,0.6589654
Tulip and Stem,1,984,0.0288537956686581,4,DSC03570-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03570-export-900x900.jpg,Red abstract flower with three petals on a stem with a single leaf.,easy,4 minutes,Square,2 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03570-export-900x900.jpg,4,1,1.0470128,0.34852305,0.102592446,0.29930228
Atlantic Puffin,3,2524,0.0545795575310202,52,DSC03512-export-900x900.jpg,Sébastien Limet,https://origami-database.com/wp-content/uploads/DSC03512-export-900x900.jpg,Standing bulky bird with reverse-colored elements.,intermediate,52 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03512-export-900x900.jpg,52,3,2.7220874,0.097639315,-0.24038412,0.9119236
Rabbit,1,1235,0.0160021075080422,2,DSC03495-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03495-export-900x900.jpg,Simple abstract rabbit face.,easy,2 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03495-export-900x900.jpg,2,1,1.1835611,0.11128251,-0.248813,1.0495824
Horse,1,986,0.0129262767118566,3,DSC03497-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03497-export-900x900.jpg,Simple abstract horse head.,easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03497-export-900x900.jpg,3,1,0.85754025,0.011596499,-0.10597362,0.81951743
Cat,1,997,0.0109339096966911,2,DSC03493-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03493-export-900x900.jpg,Simple abstract cat face.,easy,2 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03493-export-900x900.jpg,2,1,1.376755,0.16226295,-0.081895806,0.7745429
Tarrasque,5,3128,0.0464303947897518,225,DSC03516-export-900x900.jpg,Miguel F. Romero,https://origami-database.com/wp-content/uploads/DSC03516-export-900x900.jpg,"Quadruped armored beast with long tail, scales on its back and a horned head.",complex,3 hours 45 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03516-export-900x900.jpg,225,5,4.4319677,-0.22650708,-0.17008527,0.73715633
Dog,1,1147,0.0119143497242647,2,DSC03491-export-900x900.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03491-export-900x900.jpg,Simple abstract dog face.,easy,2 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03491-export-900x900.jpg,2,1,1.0250238,0.17125228,-0.2222853,0.8576052
Penguin,1,865,0.0638613891601562,2,DSC03501-export-scaled.jpg,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC03501-export-scaled.jpg,Simple abstract penguin,easy,2 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03501-export-scaled.jpg,2,1,0.6835129,0.35647696,-0.019476002,0.48591954
Lily Pad,2,1915,0.0189011158662683,8,DSC03488-export-900x900.jpg,B. Domangue,https://origami-database.com/wp-content/uploads/DSC03488-export-900x900.jpg,Flat water lily leaf.,moderate,8 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03488-export-900x900.jpg,8,2,1.9984798,0.38874215,0.06988191,0.24458663
Lotus Flower,2,2100,0.02518310546875,20,DSC03486-export-900x900.jpg,B. Domangue,https://origami-database.com/wp-content/uploads/DSC03486-export-900x900.jpg,Water lily flower.,moderate,20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03486-export-900x900.jpg,20,2,1.9661697,0.31780282,0.06519336,0.38099232
Greater Death’s Head Hawkmoth,5,1653,0.02785545797909,250,DSC03482-export-900x900.jpg,Mi Wu,https://origami-database.com/wp-content/uploads/DSC03482-export-900x900.jpg,"Flying insect with reverse-colored wings, striped abdomen and skull-like symbol on its back.",complex,4 hours 10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03482-export-900x900.jpg,250,5,4.4842505,-0.012683356,-0.14007415,0.6127276
Prehistoric Man,2,1651,0.0228276690314797,14,DSC03475-export-900x900.jpg,Fernando Gilgado Gómez,https://origami-database.com/wp-content/uploads/DSC03475-export-900x900.jpg,Male humanoid shape with visible genitals.,moderate,14 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03475-export-900x900.jpg,14,2,2.1044476,-0.10588274,0.136123,0.4033847
Otyugh,3,3427,0.0501339721679687,78,DSC03467-export-900x900.jpg,Miguel F. Romero,https://origami-database.com/wp-content/uploads/DSC03467-export-900x900.jpg,Three-legged monster with two large tentacles and an open mouth.,intermediate,1 hour 18 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03467-export-900x900.jpg,78,3,3.1428566,-0.15534763,0.110092476,0.86108357
Bulette,4,2266,0.0437701954561121,118,DSC03469-export-scaled.jpg,Miguel F. Romero,https://origami-database.com/wp-content/uploads/DSC03469-export-scaled.jpg,Armored quadruped creature with large maw.,hard,1 hour 58 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03469-export-scaled.jpg,118,4,4.0992503,-0.0771246,0.025386203,0.5802756
Fly,1,2309,0.0644534481272977,6,DSC03472-export-900x900.jpg,Adriano Mariani,https://origami-database.com/wp-content/uploads/DSC03472-export-900x900.jpg,Abstract three-dimentional flying insect with reverse-colored wings.,easy,6 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03472-export-900x900.jpg,6,1,1.4652463,0.14035645,-0.047388,0.6163351
Question Mark,3,2610,0.0241101971794577,22,DSC03463-export-900x900.jpg,Mi Wu,https://origami-database.com/wp-content/uploads/DSC03463-export-900x900.jpg,Question mark symbol on a reverse-colored background.,intermediate,22 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03463-export-900x900.jpg,22,3,2.936969,0.27440932,-0.0016911452,0.33093596
Tulip,3,2499,0.0248975147920496,38,DSC03459-export-900x900.jpg,Mi Wu,https://origami-database.com/wp-content/uploads/DSC03459-export-900x900.jpg,Flat duo-colored flower on reverse-colored background.,intermediate,38 minutes,Square,2 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03459-export-900x900.jpg,38,3,2.8227584,0.29540873,0.023779994,0.44040254
Owlbear,2,2659,0.0339130895278032,37,DSC03456-export-900x900.jpg,Miguel F. Romero,https://origami-database.com/wp-content/uploads/DSC03456-export-900x900.jpg,Abstract bear-like creature with large beak and talons.,moderate,37 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03456-export-900x900.jpg,37,2,1.7209964,-0.07084371,-0.19021267,0.3994666
Intellect Devourer,3,4606,0.0632394947725183,71,DSC03453-export-900x900.jpg,Plus4Charisma,https://origami-database.com/wp-content/uploads/DSC03453-export-900x900.jpg,"Brain on four legs, each having three digits.",intermediate,1 hour 11 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC03453-export-900x900.jpg,71,3,3.0744286,0.06882,0.0929831,0.56441396
